Station,Latitude,Longitude
Alipur,28.7993,77.1555
Anand Vihar,28.6464,77.315
Ashok Vihar,28.6883,77.1715
Aya Nagar,28.4686,77.1388
Bawana,28.8113,77.0469
Burari Crossing,28.7301,77.2036
CRRI Mathura Road,28.5646,77.2741
DTU,28.7492,77.1175
Dr. Karni Singh Shooting Range,28.4785,77.2396
Dwarka-Sector 8,28.5646,77.0556
IGI Airport (T3),28.5562,77.1
IHBAS  Dilshad Garden,28.6826,77.3168
ITO,28.6288,77.2425
Jahangirpuri,28.734,77.1804
Jawaharlal Nehru Stadium,28.5828,77.2341
Lodhi Road,28.5931,77.2279
Lodhi Road IMD,28.5902,77.2248
Major Dhyan Chand National Stadium,28.6135,77.2368
Mandir Marg,28.6289,77.2006
Mundka,28.6764,77.0316
NSIT Dwarka,28.6084,77.0364
Najafgarh,28.6091,76.9796
Narela,28.8377,77.0931
Nehru Nagar,28.5634,77.2486
North Campus  DU,28.6885,77.2092
Okhla Phase-2,28.5352,77.279
Patparganj,28.629,77.2903
Punjabi Bagh,28.6758,77.1304
Pusa,28.6399,77.1804
Pusa.1,28.6399,77.1804
R K Puram,28.5626,77.174
Rohini,28.736,77.1096
Shadipur,28.6462,77.1572
Sirifort,28.5537,77.2094
Sonia Vihar,28.7303,77.2471
Sri Aurobindo Marg,28.5396,77.1945
Vivek Vihar,28.6766,77.3044
Wazirpur,28.7044,77.1725
